ticker,bert_score,positive,negative,neutral,total_headlines,signal,top_headline
CBA.AX,55,3,2,5,10,NEUTRAL,Why FIS (FIS) Is Getting Turnaround Support From Large Client Wins
BHP.AX,50,2,2,6,10,NEUTRAL,Is It Too Late To Consider BHP Group (ASX:BHP) After A 62% One-Year Rally?
CSL.AX,45,2,3,5,10,NEGATIVE,3 ASX Dividend Stocks Yielding Up To 4.2%
WBC.AX,50,4,4,2,10,NEUTRAL,Westpac Banking (ASX:WBC) Valuation Check As Tighter Lending And Regulation Shape Investor Sentiment
ANZ.AX,55,3,2,5,10,NEUTRAL,Is American Tower (AMT) Stock Outpacing Its Finance Peers This Year?
WES.AX,40,2,4,4,10,NEGATIVE,What Is Wesfarmers Limited's (ASX:WES) Share Price Doing?
TLS.AX,55,3,2,5,10,NEUTRAL,Qualcomm leads new 6G coalition
RIO.AX,60,3,1,6,10,POSITIVE,Rio Tinto Marks Iron Ore Milestone While Weighing Bigger Los Azules Role
FMG.AX,45,1,2,7,10,NEGATIVE,Fortescue to compensate Yindjibarndi with $108.4m for cultural loss
MQG.AX,45,3,4,3,10,NEGATIVE,Basic Materials Roundup: Market Talk
AAPL,40,2,4,4,10,NEGATIVE,Alphabet Bets On AI Glasses And Cheaper Gemini To Deepen Ecosystem
MSFT,35,2,5,3,10,STRONG NEGATIVE,2 Tech Stocks Down 25% That Smart Money Is Buying Hand Over Fist Right Now
GOOGL,35,1,4,5,10,STRONG NEGATIVE,Alphabet Bets On AI Glasses And Cheaper Gemini To Deepen Ecosystem
AMZN,40,1,3,6,10,NEGATIVE,"Planet Fitness Grew Revenue 22%, So Why Did One Investor Trim $20 Million?"
NVDA,60,2,0,8,10,POSITIVE,Great News for Nvidia Shareholders!
JPM,35,1,4,5,10,STRONG NEGATIVE,JPMorgan resets Nvidia stock price target after earnings
JNJ,70,4,0,6,10,STRONG POSITIVE,CDL’s $2.29 annual dividend beats Treasury yields despite rising interest rates
XOM,60,2,0,8,10,POSITIVE,"US, Iran near deal to reopen Strait of Hormuz during ceasefire extension - Axios"
BRK-B,50,0,0,10,10,NEUTRAL,5 Warren Buffett Stocks to Buy Hand Over Fist in May
V,45,1,2,7,10,NEGATIVE,Berkshire Hathaway Energy Could Be a Quiet Star of the Greg Abel Era
